CRASH DATE,hour,LATITUDE,LONGITUDE,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3
10/15/2020,20,40.8133740,-73.9562760,0,0,0,0,Unspecified,,
10/15/2020,19,40.7996940,-73.9441900,0,0,0,0,Aggressive Driving/Road Rage,Unspecified,
10/15/2020,9,40.8472300,-73.9381300,0,0,0,0,Driver Inattention/Distraction,Unspecified,
10/15/2020,19,40.8289830,-73.9389700,2,0,0,0,Driver Inattention/Distraction,Unspecified,
10/15/2020,9,,,1,0,0,0,Turning Improperly,Unspecified,
10/15/2020,17,40.7531360,-74.0054860,0,0,0,0,Driver Inattention/Distraction,Unspecified,
10/15/2020,1,40.7872200,-73.9520650,0,0,0,0,View Obstructed/Limited,Failure to Yield Right-of-Way,
10/15/2020,9,40.8027730,-73.9535750,0,0,0,0,Unspecified,,
10/15/2020,14,40.7603530,-73.9912400,1,0,0,0,Unspecified,Unspecified,
10/15/2020,16,40.7437820,-73.9735200,0,0,0,0,Turning Improperly,Unspecified,
10/15/2020,19,40.7401850,-73.9863740,1,0,0,0,Turning Improperly,Unspecified,
10/15/2020,3,40.7133500,-73.9808500,0,0,0,0,Unspecified,Unspecified,Unspecified
10/15/2020,21,40.7923000,-73.9504600,1,0,0,0,Outside Car Distraction,Unspecified,
10/15/2020,8,40.7298500,-73.9906000,0,0,0,0,Driver Inattention/Distraction,Unspecified,
10/15/2020,1,40.7186280,-74.0025500,1,0,1,0,Unspecified,,
10/15/2020,8,,,0,0,0,0,Driver Inattention/Distraction,Unspecified,
10/15/2020,14,40.7778740,-73.9517500,0,0,0,0,Aggressive Driving/Road Rage,Backing Unsafely,
10/15/2020,16,40.7303200,-74.0046900,1,0,1,0,Unspecified,,
10/15/2020,16,40.7187770,-73.9957050,0,0,0,0,Passing Too Closely,Backing Unsafely,
10/15/2020,15,40.7353740,-73.9796100,1,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,
10/15/2020,3,40.7133500,-73.9808500,0,0,0,0,Unspecified,Unspecified,Unspecified
10/15/2020,20,40.8486820,-73.9392240,1,0,1,0,Driver Inattention/Distraction,,
10/15/2020,16,40.8028800,-73.9406200,0,0,0,0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Unspecified,
10/15/2020,19,40.8474120,-73.9333100,1,0,1,0,Driver Inattention/Distraction,,
10/16/2020,9,40.7628020,-73.9656750,0,0,0,0,Driver Inattention/Distraction,Unspecified,
10/16/2020,19,40.7401850,-73.9863740,1,0,1,0,Traffic Control Disregarded,,
10/16/2020,18,40.7194820,-73.9912950,0,0,0,0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Unspecified,
10/16/2020,21,40.7951770,-73.9360300,0,0,0,0,Unspecified,,
10/16/2020,12,40.7447780,-73.9758900,1,0,0,0,Driver Inattention/Distraction,Unspecified,
10/16/2020,6,40.8289760,-73.9486000,0,0,0,0,Driver Inattention/Distraction,View Obstructed/Limited,
10/16/2020,11,40.8190960,-73.9409300,1,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,
10/16/2020,14,40.8240300,-73.9447600,0,0,0,0,Turning Improperly,Unspecified,
10/16/2020,19,40.8117520,-73.9528300,0,0,0,0,Driver Inexperience,Unspecified,
10/16/2020,15,40.8027530,-73.9335800,0,0,0,0,Unspecified,Unspecified,
10/16/2020,10,40.7551300,-73.9652500,1,0,1,0,Failure to Yield Right-of-Way,,
10/16/2020,0,40.8141440,-73.9557100,0,0,0,0,Turning Improperly,Unspecified,
10/16/2020,18,40.7193530,-74.0103100,0,0,0,0,Unspecified,Unspecified,
10/16/2020,19,,,1,0,1,0,Driver Inattention/Distraction,,
10/16/2020,14,40.7512360,-73.9734650,0,0,0,0,Driver Inattention/Distraction,Unspecified,
10/16/2020,10,40.7105750,-74.0084800,0,0,0,0,Unspecified,Unspecified,
10/16/2020,16,40.7558670,-73.9982150,0,0,0,0,Following Too Closely,Unspecified,
10/16/2020,4,40.7791800,-73.9508000,0,0,0,0,Driver Inattention/Distraction,Unspecified,Unspecified
10/16/2020,15,40.7717800,-73.9792000,0,0,0,0,Driver Inattention/Distraction,Unspecified,
10/16/2020,10,40.8198430,-73.9388300,0,0,0,0,Other Vehicular,Unspecified,
10/16/2020,17,40.7193950,-74.0018900,0,0,0,0,Unspecified,,
10/16/2020,23,40.7491570,-73.9822700,0,0,0,0,Driver Inattention/Distraction,Unspecified,
10/16/2020,9,40.7562070,-73.9990000,0,0,0,0,Driver Inattention/Distraction,Unspecified,
10/16/2020,11,40.7187080,-74.0009460,0,0,0,0,View Obstructed/Limited,Driver Inattention/Distraction,
10/16/2020,3,40.7868080,-73.9452400,0,0,0,0,Following Too Closely,Unspecified,
10/16/2020,13,40.7530000,-73.9698940,0,0,0,0,Driver Inattention/Distraction,Unspecified,
10/16/2020,11,40.7691150,-73.9885600,0,0,0,0,Unspecified,Unspecified,
10/16/2020,8,40.7876600,-73.9770700,1,0,0,0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Unspecified,
10/17/2020,0,40.7249870,-73.9884500,0,0,0,0,Driver Inattention/Distraction,,
10/17/2020,10,,,0,0,0,0,Driver Inexperience,Unspecified,
10/17/2020,6,40.7483180,-74.0074100,0,0,0,0,Passing or Lane Usage Improper,,
10/17/2020,13,40.7981260,-73.9483200,0,0,0,0,Passing or Lane Usage Improper,Unspecified,
10/17/2020,9,40.7954670,-73.9460500,1,0,0,0,Accelerator Defective,,
10/17/2020,7,40.7482000,-73.9800400,0,0,0,0,Driver Inattention/Distraction,Unspecified,
10/17/2020,18,40.7804370,-73.9498900,0,0,0,0,Passing or Lane Usage Improper,Unspecified,
10/17/2020,18,40.7344800,-74.0013960,0,0,0,0,Reaction to Uninvolved Vehicle,,
10/17/2020,13,40.8392300,-73.9455500,0,0,0,0,Driver Inattention/Distraction,Unspecified,
10/17/2020,21,40.7210960,-74.0065800,0,0,0,0,Unspecified,,
10/17/2020,19,40.8226500,-73.9513100,0,0,0,0,Passing Too Closely,Unspecified,
10/17/2020,14,40.7393400,-73.9784900,0,0,0,0,Backing Unsafely,Unspecified,
10/17/2020,23,40.8158260,-73.9470440,0,0,0,0,Unspecified,,
10/17/2020,9,40.7422560,-73.9776800,1,0,1,0,Driver Inattention/Distraction,,
10/17/2020,12,40.7834660,-73.9590150,0,0,0,0,Driver Inattention/Distraction,Unspecified,
10/17/2020,16,40.7369700,-74.0090260,0,0,0,0,Driver Inattention/Distraction,Unspecified,
10/17/2020,8,40.7144130,-73.9814450,0,0,0,0,Unspecified,,
10/17/2020,19,40.7545000,-73.9918000,1,0,1,0,Unspecified,,
10/17/2020,23,40.8487360,-73.9323400,0,0,0,0,Unspecified,,
10/17/2020,21,40.7595860,-73.9843800,0,0,0,0,Unspecified,Unspecified,
10/17/2020,0,40.7452050,-74.0022700,1,0,1,0,Passing Too Closely,,
10/17/2020,21,40.7334560,-73.9996640,0,0,0,0,Backing Unsafely,Unspecified,
10/17/2020,9,40.8167880,-73.9526100,0,0,0,0,Unspecified,Unspecified,
10/17/2020,5,40.7193950,-74.0018900,0,0,0,0,Unspecified,Unspecified,
10/17/2020,17,40.8653640,-73.9243900,1,0,0,0,Turning Improperly,Unspecified,
10/17/2020,22,40.7611730,-73.9578900,0,0,0,0,Driver Inattention/Distraction,Driver Inexperience,Driver Inexperience
10/17/2020,20,40.7978360,-73.9694600,1,0,1,0,Unspecified,,
10/18/2020,6,40.8126100,-73.9568300,1,0,0,0,Driver Inattention/Distraction,Unspecified,
10/18/2020,16,40.7957080,-73.9466300,0,0,0,0,Brakes Defective,,
10/18/2020,17,40.8302700,-73.9439300,1,0,0,0,Driver Inexperience,,
10/18/2020,1,40.7507860,-73.9842150,3,0,0,0,Unspecified,Unspecified,
10/18/2020,17,40.7487400,-74.0007860,0,0,0,0,Unspecified,,
10/18/2020,2,40.8006630,-73.9464650,0,0,0,0,Unspecified,Unspecified,
10/18/2020,11,40.7567200,-73.9632300,0,0,0,0,Unspecified,,
10/18/2020,15,40.8139150,-73.9347700,1,0,0,0,Unspecified,Unspecified,
10/18/2020,16,40.7808000,-73.9546360,2,0,0,0,Passenger Distraction,Driver Inattention/Distraction,Passing Too Closely
10/18/2020,9,40.8297350,-73.9386440,0,0,0,0,Driver Inattention/Distraction,,
10/18/2020,19,40.8127500,-73.9455800,5,0,0,0,Illnes,Other Vehicular,Other Vehicular
10/18/2020,8,40.8536830,-73.9305400,2,0,0,0,Driver Inattention/Distraction,Unspecified,
10/18/2020,13,40.7540630,-73.9938800,0,0,0,0,Passing Too Closely,,
10/18/2020,16,40.7695920,-73.9882300,0,0,0,0,Unspecified,Unspecified,Unspecified
10/18/2020,1,40.7947580,-73.9423500,0,0,0,0,Driver Inexperience,Unspecified,
10/18/2020,17,40.7487400,-74.0007860,0,0,0,0,Passing Too Closely,Unspecified,
10/18/2020,0,40.8457370,-73.9332350,0,0,0,0,Driver Inattention/Distraction,Unspecified,
10/18/2020,17,40.7481100,-74.0012400,0,0,0,0,Passing or Lane Usage Improper,Unspecified,
10/18/2020,19,40.8625800,-73.9253850,0,0,0,0,Driver Inattention/Distraction,Unspecified,
10/18/2020,14,40.8264270,-73.9504550,0,0,0,0,Other Vehicular,Unspecified,
10/19/2020,0,40.7203200,-73.9940400,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,
10/19/2020,11,40.7904170,-73.9518400,0,0,0,0,Driver Inattention/Distraction,Unspecified,
10/19/2020,11,40.7423320,-73.9798300,0,0,0,0,Unspecified,Unspecified,
10/19/2020,14,40.7736000,-73.9815800,0,0,0,0,Passing Too Closely,Unspecified,
10/19/2020,21,40.8489380,-73.9370800,1,0,0,0,Failure to Yield Right-of-Way,Unspecified,
10/19/2020,9,40.7412570,-73.9772800,2,0,0,0,Backing Unsafely,Unspecified,
10/19/2020,20,40.7973060,-73.9344600,0,0,0,0,Traffic Control Disregarded,Unspecified,
10/19/2020,12,,,0,0,0,0,Turning Improperly,Unspecified,
10/19/2020,23,40.7501560,-73.9769900,0,0,0,0,Driver Inattention/Distraction,Unspecified,
10/19/2020,10,40.8029980,-73.9321060,0,0,0,0,Driver Inattention/Distraction,Unspecified,
10/19/2020,10,40.7346570,-73.9883000,0,0,0,0,Reaction to Uninvolved Vehicle,Unspecified,
10/19/2020,8,40.8334900,-73.9415800,0,0,0,0,Unspecified,,
10/19/2020,9,40.7849920,-73.9826100,0,0,0,0,Passing Too Closely,Unspecified,
10/19/2020,10,40.7865400,-73.9504400,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,
10/19/2020,23,40.7635880,-73.9714200,0,0,0,0,Driver Inattention/Distraction,Unspecified,
10/19/2020,21,40.7831460,-73.9783300,1,0,1,0,Failure to Yield Right-of-Way,,
10/19/2020,17,40.7622260,-73.9681900,0,0,0,0,Driver Inattention/Distraction,Unspecified,
10/19/2020,11,40.7520520,-73.9861600,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,
10/19/2020,13,40.8121870,-73.9499500,1,0,0,0,Backing Unsafely,Unspecified,
10/19/2020,19,40.7121470,-74.0084600,0,0,0,0,Unspecified,,
10/19/2020,10,40.7902530,-73.9456400,1,0,1,0,View Obstructed/Limited,,
10/19/2020,1,40.8653640,-73.9243900,1,0,0,0,Traffic Control Disregarded,Unspecified,
10/19/2020,21,40.7374100,-73.9837500,0,0,0,0,Unspecified,,
10/19/2020,17,40.7749300,-73.9508060,0,0,0,0,Failure to Yield Right-of-Way,,
10/20/2020,10,40.7241100,-73.9967800,0,0,0,0,Unspecified,Unspecified,
10/20/2020,9,40.7879100,-73.9557900,0,0,0,0,Unspecified,Unspecified,
10/20/2020,16,40.7175640,-73.9973140,0,0,0,0,Backing Unsafely,,
10/20/2020,1,40.7547800,-73.9799400,2,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,
10/20/2020,9,40.8007930,-73.9349200,1,0,1,0,Failure to Yield Right-of-Way,,
10/20/2020,9,40.7515220,-73.9939600,1,0,1,0,Unspecified,,
10/20/2020,12,40.7917630,-73.9728900,0,0,0,0,Driver Inattention/Distraction,Unspecified,
10/20/2020,17,40.7421650,-73.9910300,1,0,0,0,Turning Improperly,Passing or Lane Usage Improper,
10/20/2020,13,40.7910460,-73.9513800,0,0,0,0,Unspecified,Unspecified,
10/20/2020,17,40.7573240,-73.9685300,1,0,1,0,Failure to Yield Right-of-Way,,
10/20/2020,13,40.7551540,-73.9808600,0,0,0,0,Backing Unsafely,Unspecified,
10/20/2020,18,40.7164000,-73.9882500,0,0,0,0,Outside Car Distraction,Unspecified,Unspecified
10/20/2020,18,40.8006630,-73.9464650,0,0,0,0,Unspecified,,
10/20/2020,9,40.7467880,-73.9974000,0,0,0,0,Passing Too Closely,Passing Too Closely,
10/20/2020,11,40.7139970,-74.0086900,0,0,0,0,Driver Inattention/Distraction,Unspecified,
10/20/2020,19,,,0,0,0,0,Driver Inattention/Distraction,,
10/20/2020,3,40.7217900,-73.9998600,1,0,0,0,Failure to Yield Right-of-Way,Unspecified,
10/20/2020,1,40.8078540,-73.9491400,0,0,0,0,Passing or Lane Usage Improper,,
10/20/2020,17,40.7605360,-73.9583600,0,0,0,0,Driver Inattention/Distraction,,
10/20/2020,10,40.8340600,-73.9448850,0,0,0,0,Driver Inattention/Distraction,Unspecified,
10/20/2020,18,40.7643200,-73.9772000,1,0,0,0,Driver Inattention/Distraction,Unspecified,
10/20/2020,17,40.7137640,-74.0054300,0,0,0,0,Following Too Closely,Unspecified,
10/20/2020,12,40.7628330,-73.9913200,0,0,0,0,Unspecified,Unspecified,
10/20/2020,15,40.7840960,-73.9585650,0,1,0,1,Glare,,
10/20/2020,14,40.7100680,-74.0074300,0,0,0,0,Passing Too Closely,Unspecified,
10/20/2020,9,40.8000870,-73.9589100,0,0,0,0,Unspecified,,
10/20/2020,8,40.7502200,-73.9790650,0,0,0,0,Driver Inexperience,Passing Too Closely,
10/20/2020,19,40.7946500,-73.9717940,0,0,0,0,Driver Inattention/Distraction,Unspecified,
10/20/2020,15,40.8050880,-73.9348000,0,0,0,0,Unspecified,,
10/20/2020,18,40.7466600,-73.9900740,0,0,0,0,Unspecified,Unspecified,
10/20/2020,15,40.8531000,-73.9291500,1,0,0,0,Unsafe Speed,Unspecified,
10/20/2020,1,40.8644600,-73.9189500,2,0,0,0,View Obstructed/Limited,,
10/20/2020,11,40.8368570,-73.9443800,0,0,0,0,Passing Too Closely,Unspecified,
10/20/2020,16,40.7236250,-74.0047900,0,0,0,0,Passing or Lane Usage Improper,Passing or Lane Usage Improper,
10/20/2020,10,40.7640500,-73.9608500,0,0,0,0,Unspecified,Unspecified,
10/21/2020,5,40.7422560,-73.9776800,1,0,0,0,Passing or Lane Usage Improper,,
10/21/2020,15,40.7702000,-73.9616600,0,0,0,0,Following Too Closely,Driver Inattention/Distraction,
10/21/2020,7,40.7303500,-73.9744000,0,0,0,0,Following Too Closely,Unspecified,Unspecified
10/21/2020,16,40.7520520,-74.0009840,1,0,0,0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,
10/21/2020,10,40.7844620,-73.9773700,0,0,0,0,Other Vehicular,Passing Too Closely,
10/21/2020,18,40.7969250,-73.9335800,1,0,1,0,Driver Inattention/Distraction,,
10/21/2020,23,40.7466800,-73.9745000,1,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,
10/21/2020,13,40.7518920,-73.9888100,0,0,0,0,Driver Inattention/Distraction,Unspecified,
10/21/2020,17,40.7988360,-73.9393840,1,0,1,0,Backing Unsafely,,
10/21/2020,18,40.7629170,-73.9856600,1,0,0,0,Driver Inattention/Distraction,Unspecified,
10/21/2020,11,40.7140050,-73.9974900,1,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,
10/21/2020,14,40.7274250,-73.9764250,0,0,0,0,Driver Inattention/Distraction,,
10/21/2020,12,,,2,0,0,0,Following Too Closely,Unspecified,
10/21/2020,22,40.7546900,-73.9953600,0,0,0,0,Unspecified,,
10/21/2020,19,40.7483020,-73.9783500,1,0,0,0,Driver Inattention/Distraction,Unspecified,
10/21/2020,17,40.7710230,-73.9536500,1,0,0,0,Unsafe Speed,Unspecified,
10/21/2020,9,40.7493170,-73.9992900,1,0,1,0,Unspecified,,
10/21/2020,4,40.7543140,-73.9906800,1,0,0,0,Unspecified,Unspecified,
10/21/2020,6,40.7217300,-73.9846900,0,0,0,0,Traffic Control Disregarded,Unspecified,
10/21/2020,12,40.7757530,-73.9527400,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,
10/21/2020,13,40.8460460,-73.9402500,1,0,0,0,Passing or Lane Usage Improper,Unspecified,
10/21/2020,15,40.7992400,-73.9330400,1,0,1,0,,,
10/21/2020,7,40.8549040,-73.9296500,1,0,0,0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Unspecified,
10/21/2020,23,40.7240400,-74.0033300,0,0,0,0,,,
10/21/2020,9,40.7084850,-74.0151800,0,0,0,0,Unspecified,Unspecified,
10/21/2020,6,40.8353580,-73.9402200,0,0,0,0,Drugs (illegal),,
10/21/2020,14,40.7189600,-74.0012800,1,0,0,0,Driver Inattention/Distraction,Unspecified,
10/21/2020,9,40.7311630,-73.9919300,1,0,0,0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Passing or Lane Usage Improper,
10/21/2020,8,40.7724150,-73.9787400,0,0,0,0,Other Vehicular,Unspecified,
10/21/2020,9,40.8271980,-73.9366800,0,0,0,0,Other Vehicular,Driver Inattention/Distraction,
10/21/2020,1,40.7203200,-73.9940400,1,0,0,0,Alcohol Involvement,Unspecified,
10/21/2020,11,40.7535250,-73.9945450,0,0,0,0,Driver Inattention/Distraction,Unspecified,
10/21/2020,10,40.7493500,-73.9827700,0,0,0,0,Unspecified,Unspecified,
10/21/2020,17,40.8052060,-73.9532200,0,0,0,0,Driver Inattention/Distraction,Unspecified,
10/22/2020,18,40.8211170,-73.9574660,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,
10/22/2020,15,40.7172100,-73.9987640,0,0,0,0,Backing Unsafely,Unspecified,
10/22/2020,19,40.7304570,-73.9936600,0,0,0,0,Other Vehicular,Driver Inattention/Distraction,
10/22/2020,0,40.7668500,-73.9537600,0,0,0,0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Driver Inattention/Distraction,
10/22/2020,1,40.7978130,-73.9713440,0,0,0,0,Aggressive Driving/Road Rage,Unspecified,
10/22/2020,0,40.7183840,-73.9928500,1,0,0,0,Driver Inexperience,,
10/22/2020,9,40.7687380,-73.9541240,0,0,0,0,Unspecified,Unspecified,
10/22/2020,1,40.8668140,-73.9172100,0,0,0,0,Traffic Control Disregarded,,
10/22/2020,13,40.7620400,-73.9758400,1,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,
10/22/2020,13,40.8392800,-73.9398600,0,0,0,0,Backing Unsafely,Unspecified,
10/22/2020,18,40.8051380,-73.9659900,2,0,0,0,Passing or Lane Usage Improper,Unspecified,
10/22/2020,17,40.7537000,-73.9930900,0,0,0,0,Driver Inattention/Distraction,Unspecified,
10/22/2020,21,40.7938230,-73.9472400,0,0,0,0,Unsafe Speed,Unspecified,
10/22/2020,16,40.8670600,-73.9268400,0,0,0,0,Obstruction/Debris,Obstruction/Debris,
10/22/2020,15,40.8093700,-73.9530100,0,0,0,0,Unspecified,,
10/22/2020,7,40.8523330,-73.9387740,0,0,0,0,Passing Too Closely,Unspecified,
10/22/2020,12,40.7383500,-73.9970550,0,0,0,0,Passing Too Closely,Unspecified,
10/22/2020,20,40.7694550,-73.9538600,1,0,0,0,Unspecified,Unspecified,
10/22/2020,22,40.8059800,-73.9542200,0,0,0,0,Passing or Lane Usage Improper,Passing or Lane Usage Improper,Unspecified
10/22/2020,6,40.7611730,-73.9578900,0,0,0,0,Obstruction/Debris,,
10/22/2020,14,40.7360900,-73.9842900,0,0,0,0,Unspecified,,
10/22/2020,10,40.8241300,-73.9409800,0,0,0,0,Unspecified,Unspecified,
10/22/2020,9,40.7775420,-73.9570160,0,0,0,0,Passing Too Closely,Unspecified,
10/22/2020,6,40.7680320,-73.9589500,0,0,0,0,Unsafe Lane Changing,Unspecified,
10/22/2020,13,40.7688030,-73.9583700,0,0,0,0,Unsafe Lane Changing,Unsafe Lane Changing,
10/23/2020,10,40.8015940,-73.9446000,0,0,0,0,Unspecified,,
10/23/2020,3,40.8138600,-73.9566900,0,0,0,0,Backing Unsafely,Unspecified,
10/23/2020,16,40.7684360,-73.9615600,1,0,0,0,Unspecified,,
10/23/2020,10,40.7940250,-73.9386100,0,0,0,0,Unspecified,Unspecified,
10/23/2020,13,40.7259300,-73.9946600,1,0,0,0,Reaction to Uninvolved Vehicle,Driver Inattention/Distraction,
10/23/2020,15,40.7616000,-73.9686500,1,0,1,0,Failure to Yield Right-of-Way,,
10/23/2020,17,40.7149280,-74.0079500,0,0,0,0,Unspecified,Unspecified,
10/23/2020,11,40.7970660,-73.9700300,0,0,0,0,Driver Inattention/Distraction,Unspecified,
10/23/2020,15,40.7185100,-73.9881000,0,0,0,0,Passing Too Closely,Driver Inattention/Distraction,
10/23/2020,21,40.7707520,-73.9569500,1,0,0,0,Driver Inattention/Distraction,Unspecified,Unspecified
10/23/2020,19,40.7101400,-74.0075700,0,0,0,0,Backing Unsafely,Unspecified,
10/23/2020,0,40.7425650,-73.9967600,0,0,0,0,Unsafe Lane Changing,Unspecified,
10/23/2020,18,40.7171860,-74.0129000,0,0,0,0,Unspecified,Unspecified,
10/23/2020,13,40.7463300,-73.9860900,1,0,0,0,Driver Inattention/Distraction,,
10/23/2020,19,40.7626720,-73.9732700,1,0,0,0,Driver Inattention/Distraction,Unspecified,
10/23/2020,1,40.8283100,-73.9431500,0,0,0,0,Steering Failure,,
10/23/2020,16,40.7589800,-73.9959500,0,0,0,0,Oversized Vehicle,Unspecified,
10/23/2020,11,40.7177660,-73.9951900,0,0,0,0,Following Too Closely,Unspecified,
10/23/2020,11,40.8338430,-73.9485100,0,0,0,0,Driver Inattention/Distraction,Unspecified,
10/23/2020,11,40.7949450,-73.9660200,0,0,0,0,Driver Inattention/Distraction,Unspecified,
10/23/2020,16,40.7488900,-74.0070300,1,0,1,0,Unspecified,,
10/23/2020,18,40.8467640,-73.9337840,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,
10/23/2020,4,40.7596400,-73.9581700,0,0,0,0,Driver Inattention/Distraction,Unspecified,Unspecified
10/23/2020,20,40.8172800,-73.9385450,0,0,0,0,Other Vehicular,Failure to Yield Right-of-Way,
10/23/2020,19,40.8057300,-73.9385500,0,0,0,0,Unspecified,,
10/23/2020,17,40.8138600,-73.9566900,1,0,0,0,Following Too Closely,Unspecified,
10/23/2020,6,40.8401900,-73.9430700,0,0,0,0,Turning Improperly,,
10/23/2020,9,40.8002300,-73.9413700,0,0,0,0,Passing Too Closely,Unspecified,
10/23/2020,4,40.7583730,-73.9710000,0,0,0,0,Driver Inattention/Distraction,,
10/23/2020,11,40.7470100,-73.9771960,0,0,0,0,Unspecified,Unspecified,
10/23/2020,13,40.7311500,-74.0089340,1,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,
10/23/2020,12,40.7507630,-73.9744600,1,0,0,0,Driver Inattention/Distraction,Unspecified,
10/23/2020,16,40.7381360,-74.0038800,0,0,0,0,View Obstructed/Limited,,
10/24/2020,12,40.7621100,-73.9601600,0,0,0,0,Unspecified,,
10/24/2020,17,40.8257450,-73.9488600,1,0,1,0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,,
10/24/2020,16,40.7311020,-73.9881200,0,0,0,0,Following Too Closely,Unspecified,
10/24/2020,14,40.7224000,-73.9916500,1,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,
10/24/2020,18,40.7672800,-73.9921100,0,0,0,0,Unspecified,Unspecified,
10/24/2020,15,40.7401850,-73.9863740,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,
10/24/2020,19,40.7601620,-73.9633000,0,0,0,0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,,
10/24/2020,20,40.7810800,-73.9853740,1,0,0,0,Driver Inattention/Distraction,Unspecified,
10/24/2020,14,40.8016430,-73.9508900,1,0,1,0,Driver Inattention/Distraction,,
10/24/2020,2,40.7733350,-73.9550600,1,0,0,0,Unspecified,Unspecified,
10/24/2020,2,40.7530000,-73.9698940,0,0,0,0,Steering Failure,Unspecified,
10/24/2020,14,40.7537270,-73.9716500,0,0,0,0,Passing Too Closely,Unspecified,
10/24/2020,16,40.7901500,-73.9732360,0,0,0,0,Unspecified,Unspecified,
10/24/2020,18,40.8623920,-73.9180200,0,0,0,0,Driver Inattention/Distraction,Unspecified,
10/24/2020,13,40.7229300,-73.9886500,1,0,0,0,Driver Inattention/Distraction,Unspecified,
10/24/2020,0,40.7310180,-73.9859160,0,0,0,0,Unspecified,Unspecified,
10/24/2020,21,40.8670120,-73.9231200,0,0,0,0,Unspecified,,
10/24/2020,11,40.7234600,-73.9810700,0,0,0,0,Unspecified,Unspecified,
10/24/2020,0,40.7584300,-73.9730760,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,
10/24/2020,8,40.7504800,-73.9947200,0,0,0,0,Unspecified,Unspecified,
10/24/2020,19,40.8334900,-73.9415800,1,0,0,0,Failure to Yield Right-of-Way,Failure to Yield Right-of-Way,
10/24/2020,23,40.8076500,-73.9392550,0,0,0,0,Unspecified,Unspecified,
10/24/2020,15,40.7987140,-73.9497150,0,0,0,0,Unspecified,,
10/24/2020,14,40.7696270,-73.9881800,1,0,1,0,Backing Unsafely,,
10/24/2020,21,40.8467250,-73.9356300,1,0,0,0,Driver Inattention/Distraction,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,
10/24/2020,15,40.7602200,-73.9576340,0,0,0,0,Driver Inattention/Distraction,,
10/24/2020,15,40.7979300,-73.9340000,1,0,0,0,Unspecified,Unspecified,
10/24/2020,3,40.7551000,-73.9925460,0,0,0,0,Passenger Distraction,Unspecified,
10/24/2020,18,40.7207450,-73.9861700,0,0,0,0,Driver Inattention/Distraction,Unspecified,
10/25/2020,1,40.7321620,-73.9844800,0,0,0,0,Unspecified,,
10/25/2020,20,40.8127500,-73.9455800,0,0,0,0,Driver Inattention/Distraction,Backing Unsafely,
10/25/2020,17,40.7144050,-73.9972200,0,0,0,0,Passing Too Closely,Unspecified,
10/25/2020,13,40.7383500,-73.9805800,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,
10/25/2020,23,40.7809560,-73.9612100,1,0,0,0,Driver Inexperience,,
10/25/2020,0,40.8120500,-73.9535500,0,0,0,0,Brakes Defective,Unspecified,Unspecified
10/25/2020,22,40.7321620,-73.9901900,3,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,
10/25/2020,9,40.8017650,-73.9372300,0,0,0,0,Traffic Control Disregarded,Unspecified,
10/25/2020,13,40.8644600,-73.9189500,0,0,0,0,Driver Inattention/Distraction,Unspecified,Unspecified
10/25/2020,13,40.7588650,-73.9848800,0,0,0,0,Unspecified,Unspecified,
10/25/2020,3,40.8308900,-73.9413760,0,0,0,0,Turning Improperly,Unspecified,
10/25/2020,23,40.7903140,-73.9395700,0,0,0,0,Unspecified,Unspecified,
10/25/2020,16,40.7950700,-73.9391900,0,0,0,0,Passing or Lane Usage Improper,Unspecified,
10/25/2020,3,40.8301600,-73.9416700,0,0,0,0,Unspecified,Unspecified,Unspecified
